cc,system_type,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
de_anza,quarter,UCSD,1,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCLA,1,7CoursePattern,success,5,67.5,False,15.5,14,14,14,10,0,
de_anza,quarter,UCI,1,7CoursePattern,success,4,47.5,False,15.5,14,15,3,0,0,
de_anza,quarter,UCR,1,7CoursePattern,success,3,45.5,False,15.5,15,15,0,0,0,
de_anza,quarter,UCSB,1,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCD,1,7CoursePattern,success,5,69.5,False,15.5,15.5,16,13.5,9,0,
de_anza,quarter,UCB,1,7CoursePattern,success,5,66,False,14,14,14,14,10,0,
de_anza,quarter,UCSC,1,7CoursePattern,success,4,61.5,False,15.5,15.5,15.5,15,0,0,
de_anza,quarter,UCM,1,7CoursePattern,success,5,76.5,False,15.5,15.5,15.5,14,16,0,
de_anza,quarter,UCLA+UCSD,2,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCI+UCSD,2,7CoursePattern,success,6,85.5,False,15.5,15.5,15.5,15.5,16,7.5,
de_anza,quarter,UCR+UCSD,2,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCSB+UCSD,2,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCD+UCSD,2,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCB+UCSD,2,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCSC+UCSD,2,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCM+UCSD,2,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCI+UCLA,2,7CoursePattern,success,5,72.0,False,15.5,15.5,14,14,13,0,
de_anza,quarter,UCLA+UCR,2,7CoursePattern,success,5,72.0,False,15.5,15.5,14,14,13,0,
de_anza,quarter,UCLA+UCSB,2,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCD+UCLA,2,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCB+UCLA,2,7CoursePattern,success,5,67.5,False,15.5,14,14,14,10,0,
de_anza,quarter,UCLA+UCSC,2,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCLA+UCM,2,7CoursePattern,success,5,76.5,False,15.5,15.5,15.5,14,16,0,
de_anza,quarter,UCI+UCR,2,7CoursePattern,success,4,55.0,False,15.5,15.5,15,9,0,0,
de_anza,quarter,UCI+UCSB,2,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCD+UCI,2,7CoursePattern,success,5,74.0,False,15.5,15.5,15.5,15.5,12,0,
de_anza,quarter,UCB+UCI,2,7CoursePattern,success,5,67.5,False,15.5,14,14,14,10,0,
de_anza,quarter,UCI+UCSC,2,7CoursePattern,success,5,69.0,False,15.5,15.5,15.5,13.5,9,0,
de_anza,quarter,UCI+UCM,2,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCR+UCSB,2,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCD+UCR,2,7CoursePattern,success,5,74.0,False,15.5,15.0,16,15.5,12,0,
de_anza,quarter,UCB+UCR,2,7CoursePattern,success,5,67.5,False,15.5,14,14,14,10,0,
de_anza,quarter,UCR+UCSC,2,7CoursePattern,success,5,69.0,False,15.5,15.0,16,13.5,9,0,
de_anza,quarter,UCM+UCR,2,7CoursePattern,success,5,76.5,False,15.5,15.5,15.5,14,16,0,
de_anza,quarter,UCD+UCSB,2,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCB+UCSB,2,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCSB+UCSC,2,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCM+UCSB,2,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCB+UCD,2,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCD+UCSC,2,7CoursePattern,success,5,69.5,False,15.5,15.5,16,13.5,9,0,
de_anza,quarter,UCD+UCM,2,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCB+UCSC,2,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCB+UCM,2,7CoursePattern,success,5,76.5,False,15.5,15.5,15.5,14,16,0,
de_anza,quarter,UCM+UCSC,2,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCI+UCLA+UCSD,3,7CoursePattern,success,6,90.5,False,15.5,15.5,15.5,15.5,16,12.5,
de_anza,quarter,UCLA+UCR+UCSD,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCLA+UCSB+UCSD,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCD+UCLA+UCSD,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCLA+UCSD,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCLA+UCSC+UCSD,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCLA+UCM+UCSD,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCI+UCR+UCSD,3,7CoursePattern,success,6,85.5,False,15.5,15.5,15.5,15.5,16,7.5,
de_anza,quarter,UCI+UCSB+UCSD,3,7CoursePattern,success,6,90.5,False,15.5,15.5,15.5,15.5,16,12.5,
de_anza,quarter,UCD+UCI+UCSD,3,7CoursePattern,success,6,85.5,False,15.5,15.5,15.5,15.5,16,7.5,
de_anza,quarter,UCB+UCI+UCSD,3,7CoursePattern,success,6,85.5,False,15.5,15.5,15.5,15.5,16,7.5,
de_anza,quarter,UCI+UCSC+UCSD,3,7CoursePattern,success,6,85.5,False,15.5,15.5,15.5,15.5,16,7.5,
de_anza,quarter,UCI+UCM+UCSD,3,7CoursePattern,success,6,85.5,False,15.5,15.5,15.5,15.5,16,7.5,
de_anza,quarter,UCR+UCSB+UCSD,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCD+UCR+UCSD,3,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCB+UCR+UCSD,3,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCR+UCSC+UCSD,3,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCM+UCR+UCSD,3,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCD+UCSB+UCSD,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCSB+UCSD,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCSB+UCSC+UCSD,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCM+UCSB+UCSD,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCD+UCSD,3,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCD+UCSC+UCSD,3,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCD+UCM+UCSD,3,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCB+UCSC+UCSD,3,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCB+UCM+UCSD,3,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCM+UCSC+UCSD,3,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCI+UCLA+UCR,3,7CoursePattern,success,5,76.5,False,15.5,15.5,15.5,14,16,0,
de_anza,quarter,UCI+UCLA+UCSB,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCD+UCI+UCLA,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,16,16,7.5,
de_anza,quarter,UCB+UCI+UCLA,3,7CoursePattern,success,5,72.0,False,15.5,15.5,14,14,13,0,
de_anza,quarter,UCI+UCLA+UCSC,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,16,16,7.5,
de_anza,quarter,UCI+UCLA+UCM,3,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCLA+UCR+UCSB,3,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCD+UCLA+UCR,3,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCB+UCLA+UCR,3,7CoursePattern,success,5,72.0,False,15.5,15.5,14,14,13,0,
de_anza,quarter,UCLA+UCR+UCSC,3,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCLA+UCM+UCR,3,7CoursePattern,success,5,76.5,False,15.5,15.5,15.5,14,16,0,
de_anza,quarter,UCD+UCLA+UCSB,3,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCB+UCLA+UCSB,3,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCLA+UCSB+UCSC,3,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCLA+UCM+UCSB,3,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCB+UCD+UCLA,3,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCD+UCLA+UCSC,3,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCD+UCLA+UCM,3,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCB+UCLA+UCSC,3,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCB+UCLA+UCM,3,7CoursePattern,success,5,76.5,False,15.5,15.5,15.5,14,16,0,
de_anza,quarter,UCLA+UCM+UCSC,3,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCI+UCR+UCSB,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCD+UCI+UCR,3,7CoursePattern,success,5,75.5,False,15.5,15.0,15.5,16,13.5,0,
de_anza,quarter,UCB+UCI+UCR,3,7CoursePattern,success,5,72.0,False,15.5,15.5,14,14,13,0,
de_anza,quarter,UCI+UCR+UCSC,3,7CoursePattern,success,5,73.5,False,15.5,15.0,15.5,15.5,12,0,
de_anza,quarter,UCI+UCM+UCR,3,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCD+UCI+UCSB,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCI+UCSB,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCI+UCSB+UCSC,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCI+UCM+UCSB,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCD+UCI,3,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,16,15.5,3,
de_anza,quarter,UCD+UCI+UCSC,3,7CoursePattern,success,5,74.0,False,15.5,15.5,15.5,15.5,12,0,
de_anza,quarter,UCD+UCI+UCM,3,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,16,15.5,3,
de_anza,quarter,UCB+UCI+UCSC,3,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,16,16,7.5,
de_anza,quarter,UCB+UCI+UCM,3,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCI+UCM+UCSC,3,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,16,15.5,3,
de_anza,quarter,UCD+UCR+UCSB,3,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCB+UCR+UCSB,3,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCR+UCSB+UCSC,3,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCM+UCR+UCSB,3,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCB+UCD+UCR,3,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCD+UCR+UCSC,3,7CoursePattern,success,5,74.0,False,15.5,15.0,16,15.5,12,0,
de_anza,quarter,UCD+UCM+UCR,3,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCB+UCR+UCSC,3,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCB+UCM+UCR,3,7CoursePattern,success,5,76.5,False,15.5,15.5,15.5,14,16,0,
de_anza,quarter,UCM+UCR+UCSC,3,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCB+UCD+UCSB,3,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCD+UCSB+UCSC,3,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCD+UCM+UCSB,3,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCB+UCSB+UCSC,3,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCB+UCM+UCSB,3,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCM+UCSB+UCSC,3,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCB+UCD+UCSC,3,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCB+UCD+UCM,3,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCD+UCM+UCSC,3,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCB+UCM+UCSC,3,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCI+UCLA+UCR+UCSD,4,7CoursePattern,success,6,90.5,False,15.5,15.5,15.5,15.5,16,12.5,
de_anza,quarter,UCI+UCLA+UCSB+UCSD,4,7CoursePattern,success,6,90.5,False,15.5,15.5,15.5,15.5,16,12.5,
de_anza,quarter,UCD+UCI+UCLA+UCSD,4,7CoursePattern,success,6,90.5,False,15.5,15.5,15.5,15.5,16,12.5,
de_anza,quarter,UCB+UCI+UCLA+UCSD,4,7CoursePattern,success,6,90.5,False,15.5,15.5,15.5,15.5,16,12.5,
de_anza,quarter,UCI+UCLA+UCSC+UCSD,4,7CoursePattern,success,6,90.5,False,15.5,15.5,15.5,15.5,16,12.5,
de_anza,quarter,UCI+UCLA+UCM+UCSD,4,7CoursePattern,success,6,90.5,False,15.5,15.5,15.5,15.5,16,12.5,
de_anza,quarter,UCLA+UCR+UCSB+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCD+UCLA+UCR+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCLA+UCR+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCLA+UCR+UCSC+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCLA+UCM+UCR+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCD+UCLA+UCSB+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCLA+UCSB+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCLA+UCSB+UCSC+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCLA+UCM+UCSB+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCD+UCLA+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCD+UCLA+UCSC+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCD+UCLA+UCM+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCLA+UCSC+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCLA+UCM+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCLA+UCM+UCSC+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCI+UCR+UCSB+UCSD,4,7CoursePattern,success,6,90.5,False,15.5,15.5,15.5,15.5,16,12.5,
de_anza,quarter,UCD+UCI+UCR+UCSD,4,7CoursePattern,success,6,85.5,False,15.5,15.5,15.5,15.5,16,7.5,
de_anza,quarter,UCB+UCI+UCR+UCSD,4,7CoursePattern,success,6,85.5,False,15.5,15.5,15.5,15.5,16,7.5,
de_anza,quarter,UCI+UCR+UCSC+UCSD,4,7CoursePattern,success,6,85.5,False,15.5,15.5,15.5,15.5,16,7.5,
de_anza,quarter,UCI+UCM+UCR+UCSD,4,7CoursePattern,success,6,85.5,False,15.5,15.5,15.5,15.5,16,7.5,
de_anza,quarter,UCD+UCI+UCSB+UCSD,4,7CoursePattern,success,6,90.5,False,15.5,15.5,15.5,15.5,16,12.5,
de_anza,quarter,UCB+UCI+UCSB+UCSD,4,7CoursePattern,success,6,90.5,False,15.5,15.5,15.5,15.5,16,12.5,
de_anza,quarter,UCI+UCSB+UCSC+UCSD,4,7CoursePattern,success,6,90.5,False,15.5,15.5,15.5,15.5,16,12.5,
de_anza,quarter,UCI+UCM+UCSB+UCSD,4,7CoursePattern,success,6,90.5,False,15.5,15.5,15.5,15.5,16,12.5,
de_anza,quarter,UCB+UCD+UCI+UCSD,4,7CoursePattern,success,6,85.5,False,15.5,15.5,15.5,15.5,16,7.5,
de_anza,quarter,UCD+UCI+UCSC+UCSD,4,7CoursePattern,success,6,85.5,False,15.5,15.5,15.5,15.5,16,7.5,
de_anza,quarter,UCD+UCI+UCM+UCSD,4,7CoursePattern,success,6,85.5,False,15.5,15.5,15.5,15.5,16,7.5,
de_anza,quarter,UCB+UCI+UCSC+UCSD,4,7CoursePattern,success,6,85.5,False,15.5,15.5,15.5,15.5,16,7.5,
de_anza,quarter,UCB+UCI+UCM+UCSD,4,7CoursePattern,success,6,85.5,False,15.5,15.5,15.5,15.5,16,7.5,
de_anza,quarter,UCI+UCM+UCSC+UCSD,4,7CoursePattern,success,6,85.5,False,15.5,15.5,15.5,15.5,16,7.5,
de_anza,quarter,UCD+UCR+UCSB+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCR+UCSB+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCR+UCSB+UCSC+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCM+UCR+UCSB+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCD+UCR+UCSD,4,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCD+UCR+UCSC+UCSD,4,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCD+UCM+UCR+UCSD,4,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCB+UCR+UCSC+UCSD,4,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCB+UCM+UCR+UCSD,4,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCM+UCR+UCSC+UCSD,4,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCB+UCD+UCSB+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCD+UCSB+UCSC+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCD+UCM+UCSB+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCSB+UCSC+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCM+UCSB+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCM+UCSB+UCSC+UCSD,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCD+UCSC+UCSD,4,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCB+UCD+UCM+UCSD,4,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCD+UCM+UCSC+UCSD,4,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCB+UCM+UCSC+UCSD,4,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCI+UCLA+UCR+UCSB,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCD+UCI+UCLA+UCR,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,16,16,7.5,
de_anza,quarter,UCB+UCI+UCLA+UCR,4,7CoursePattern,success,5,76.5,False,15.5,15.5,15.5,14,16,0,
de_anza,quarter,UCI+UCLA+UCR+UCSC,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,16,16,7.5,
de_anza,quarter,UCI+UCLA+UCM+UCR,4,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCD+UCI+UCLA+UCSB,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCI+UCLA+UCSB,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCI+UCLA+UCSB+UCSC,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCI+UCLA+UCM+UCSB,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,15.5,16,8,
de_anza,quarter,UCB+UCD+UCI+UCLA,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,16,16,7.5,
de_anza,quarter,UCD+UCI+UCLA+UCSC,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,16,16,7.5,
de_anza,quarter,UCD+UCI+UCLA+UCM,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,16,16,7.5,
de_anza,quarter,UCB+UCI+UCLA+UCSC,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,16,16,7.5,
de_anza,quarter,UCB+UCI+UCLA+UCM,4,7CoursePattern,success,6,81.0,False,15.5,15.5,15.5,15.5,16,3,
de_anza,quarter,UCI+UCLA+UCM+UCSC,4,7CoursePattern,success,6,86.0,False,15.5,15.5,15.5,16,16,7.5,
de_anza,quarter,UCD+UCLA+UCR+UCSB,4,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCB+UCLA+UCR+UCSB,4,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCLA+UCR+UCSB+UCSC,4,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCLA+UCM+UCR+UCSB,4,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCB+UCD+UCLA+UCR,4,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCD+UCLA+UCR+UCSC,4,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCD+UCLA+UCM+UCR,4,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCB+UCLA+UCR+UCSC,4,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCB+UCLA+UCM+UCR,4,7CoursePattern,success,5,76.5,False,15.5,15.5,15.5,14,16,0,
de_anza,quarter,UCLA+UCM+UCR+UCSC,4,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCB+UCD+UCLA+UCSB,4,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCD+UCLA+UCSB+UCSC,4,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCD+UCLA+UCM+UCSB,4,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCB+UCLA+UCSB+UCSC,4,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCB+UCLA+UCM+UCSB,4,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCLA+UCM+UCSB+UCSC,4,7CoursePattern,success,6,81.5,False,15.5,15.5,15.5,16,16,3,
de_anza,quarter,UCB+UCD+UCLA+UCSC,4,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCB+UCD+UCLA+UCM,4,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
de_anza,quarter,UCD+UCLA+UCM+UCSC,4,7CoursePattern,success,6,81.5,False,15.5,15.5,16,15.5,16,3,
